epoch,train_loss,loss,dice,iou,positive_dice,positive_iou,empty_accuracy,empty_mean_false_positive_pixels,micro_dice,micro_iou,count,positive_count,empty_count,empty_exact_correct,encoder_lr,decoder_lr,head_lr
15,0.2860711079461988,0.47772119265713103,0.7617590272263305,0.7177484794838788,0.8746746673303492,0.8116792007988575,0.5,1498.2727272727273,0.9300448763710382,0.8692372753135751,73,51,22,11,0.0001,0.001,0.001
16,0.2605697526922965,0.48825887958072633,0.7122128197591598,0.6681038369871166,0.882186981977201,0.8190505855223712,0.3181818181818182,2063.9545454545455,0.9267004098209501,0.8634126187138077,73,51,22,7,0.0001,0.001,0.001
17,0.25718629514159314,0.5175657705084918,0.6513008573283888,0.5955344373232698,0.8538228004586463,0.7740002590067246,0.18181818181818182,2164.1363636363635,0.9025582953420122,0.8224202629726832,73,51,22,4,0.0001,0.001,0.001
18,0.3449565306360871,0.5412294162462835,0.6606509914136913,0.6011238163464689,0.8475984685561236,0.7623929135939654,0.22727272727272727,2872.2727272727275,0.8828841837671517,0.7903246654804554,73,51,22,5,0.0001,0.001,0.001
19,0.3087691971516697,0.33379887146492526,0.8210979006061815,0.7798690273337168,0.8223558418891009,0.7633419410855162,0.8181818181818182,489.3636363636364,0.929361734743214,0.8680445720108017,73,51,22,18,0.0001,0.001,0.001
20,0.22325389076202998,0.3212754169147309,0.8149123771549904,0.7713654800637127,0.8331098731826333,0.7707780354163226,0.7727272727272727,895.5,0.9212850889159604,0.8540579901599096,73,51,22,17,0.0001,0.001,0.001
21,0.20317079093843368,0.33880888007275045,0.798673639558766,0.757153524927897,0.849081880906049,0.7896511285912757,0.6818181818181818,1161.2727272727273,0.9314414889181071,0.8716803799307556,73,51,22,15,0.0001,0.001,0.001
22,0.13725362773091151,0.39169479426864073,0.770806319093051,0.7186520401745626,0.8680169068130792,0.7933646849557465,0.5454545454545454,2126.2272727272725,0.9115041182565817,0.8373978565694222,73,51,22,12,0.0001,0.001,0.001
23,0.15907242399300156,0.3548218073093728,0.763501179544893,0.7122710061399904,0.8575605025478438,0.7842310713786705,0.5454545454545454,1003.3181818181819,0.9171952397098715,0.8470550493923915,73,51,22,12,0.0001,0.001,0.001
24,0.24262101315924162,0.5573317312622723,0.7069564347397791,0.6470225959607999,0.8354474504788717,0.7496598035681481,0.4090909090909091,2128.2272727272725,0.8935281307828363,0.8075470833388774,73,51,22,9,0.0001,0.001,0.001
25,0.16226821225067786,0.3456016446221365,0.7762209691413461,0.7288839621086644,0.8757672695552602,0.8080103958354277,0.5454545454545454,1635.7272727272727,0.9254538060426314,0.8612508343027527,73,51,22,12,0.0001,0.001,0.001
26,0.17456298428707898,0.3793002240461846,0.7643646850977859,0.7166670920097664,0.8391886902790443,0.7709156461790496,0.5909090909090909,1609.1818181818182,0.9161092396155298,0.8452043998332212,73,51,22,13,0.0001,0.001,0.001
27,0.23727593386745102,0.39903825643944413,0.7599645820382523,0.7112125207300055,0.8328904895221486,0.763108117907655,0.5909090909090909,2205.9545454545455,0.9072614982750591,0.8302640538819697,73,51,22,13,0.0001,0.001,0.001
